time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min1s,0.0,500.0
0h1min33s,0.0,500.0
0h2min5s,0.0,500.0
0h2min37s,0.0,291.0
0h3min8s,0.0,500.0
0h3min40s,0.0,500.0
0h4min11s,10.0,500.0
0h4min43s,0.0,1500.0
0h5min30s,0.0,1500.0
0h6min2s,0.0,1500.0
0h6min33s,0.0,500.0
0h7min4s,0.0,706.0
0h7min36s,0.0,295.0
0h8min7s,10.0,500.0
0h8min38s,0.0,575.0
0h9min9s,0.0,1500.0
0h9min41s,0.0,500.0
0h10min30s,10.0,500.0
0h11min1s,0.0,420.0
0h11min32s,10.0,1500.0
0h12min7s,10.0,477.0
0h12min39s,10.0,441.0
0h13min11s,10.0,439.0
0h13min43s,10.0,1500.0
0h14min16s,10.0,385.0
0h14min47s,20.0,1500.0
0h15min35s,20.0,831.0
0h16min8s,10.0,95.0
0h16min41s,10.0,134.0
0h17min13s,20.0,1500.0
0h17min47s,20.0,1500.0
0h18min20s,10.0,177.0
0h18min53s,10.0,247.0
0h19min26s,10.0,217.0
0h19min59s,20.0,516.0
0h20min35s,10.0,88.0
0h21min8s,20.0,264.0
0h21min41s,0.0,175.0
0h22min13s,20.0,1500.0
0h22min47s,20.0,1500.0
0h23min19s,100.0,592.0
0h23min52s,20.0,863.0
0h24min25s,10.0,119.0
0h24min58s,10.0,196.0
0h25min35s,100.0,541.0
0h26min6s,100.0,646.0
0h26min38s,100.0,570.0
0h27min10s,20.0,992.0
0h27min43s,20.0,975.0
0h28min15s,10.0,262.0
0h28min47s,100.0,470.0
0h29min18s,100.0,572.0
0h29min50s,100.0,385.0
0h30min35s,0.0,16.0
0h31min6s,100.0,364.0
0h31min38s,100.0,322.0
0h32min9s,20.0,1500.0
0h32min40s,100.0,522.0
0h33min12s,10.0,169.0
0h33min43s,100.0,360.0
0h34min14s,100.0,388.0
0h34min45s,100.0,321.0
0h35min35s,100.0,345.0
0h36min6s,100.0,422.0
0h36min38s,100.0,429.0
0h37min8s,100.0,439.0
0h37min39s,100.0,361.0
0h38min10s,100.0,302.0
0h38min41s,100.0,252.0
0h39min12s,20.0,708.0
0h39min44s,100.0,299.0
0h40min35s,0.0,182.0
0h41min6s,100.0,314.0
0h41min37s,10.0,246.0
0h42min8s,100.0,265.0
0h42min39s,0.0,70.0
0h43min10s,100.0,449.0
0h43min41s,100.0,322.0
0h44min12s,10.0,429.0
0h44min43s,100.0,432.0
0h45min35s,100.0,244.0
0h46min6s,100.0,380.0
0h46min37s,0.0,29.0
0h47min9s,100.0,336.0
0h47min40s,100.0,261.0
0h48min11s,100.0,356.0
0h48min43s,100.0,415.0
0h49min14s,0.0,196.0
0h49min45s,10.0,277.0
0h50min36s,100.0,373.0
0h51min7s,100.0,491.0
0h51min39s,100.0,324.0
0h52min10s,0.0,24.0
0h52min40s,100.0,438.0
0h53min12s,10.0,300.0
0h53min42s,100.0,271.0
0h54min13s,100.0,430.0
0h54min44s,100.0,467.0
0h55min35s,100.0,544.0
0h56min6s,10.0,167.0
0h56min37s,100.0,450.0
0h57min8s,100.0,345.0
0h57min39s,100.0,203.0
0h58min11s,100.0,320.0
0h58min42s,10.0,132.0
0h59min13s,100.0,275.0
0h59min44s,10.0,232.0
1h0min36s,0.0,42.0
1h1min7s,100.0,312.0
1h1min38s,100.0,324.0
1h2min8s,0.0,17.0
1h2min40s,0.0,50.0
1h3min11s,100.0,299.0
1h3min42s,0.0,75.0
1h4min13s,100.0,467.0
1h4min44s,100.0,397.0
1h5min36s,100.0,313.0
1h6min6s,100.0,329.0
1h6min37s,100.0,397.0
1h7min8s,100.0,371.0
1h7min40s,20.0,336.0
1h8min11s,100.0,332.0
1h8min42s,100.0,456.0
1h9min14s,100.0,384.0
1h9min45s,10.0,209.0
1h10min36s,100.0,431.0
1h11min7s,100.0,325.0
1h11min38s,100.0,406.0
1h12min9s,100.0,365.0
1h12min40s,100.0,404.0
1h13min11s,100.0,221.0
1h13min42s,0.0,13.0
1h14min13s,100.0,474.0
1h14min44s,100.0,278.0
1h15min36s,100.0,492.0
1h16min7s,100.0,262.0
1h16min39s,100.0,283.0
1h17min10s,100.0,446.0
1h17min41s,100.0,318.0
1h18min12s,10.0,209.0
1h18min43s,100.0,380.0
1h19min14s,100.0,317.0
1h19min46s,100.0,270.0
