time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min6s,0.0,500.0
0h2min38s,0.0,500.0
0h3min10s,0.0,500.0
0h3min41s,10.0,1500.0
0h4min14s,0.0,500.0
0h4min46s,0.0,500.0
0h5min30s,0.0,500.0
0h6min2s,0.0,500.0
0h6min34s,0.0,500.0
0h7min6s,0.0,500.0
0h7min38s,0.0,500.0
0h8min9s,0.0,500.0
0h8min41s,0.0,500.0
0h9min13s,0.0,574.0
0h9min45s,0.0,500.0
0h10min30s,0.0,500.0
0h11min1s,0.0,500.0
0h11min33s,0.0,500.0
0h12min5s,0.0,500.0
0h12min37s,0.0,500.0
0h13min8s,0.0,1500.0
0h13min39s,0.0,500.0
0h14min11s,0.0,500.0
0h14min43s,0.0,500.0
0h15min30s,0.0,500.0
0h16min1s,0.0,500.0
0h16min33s,0.0,500.0
0h17min4s,0.0,500.0
0h17min36s,10.0,500.0
0h18min7s,10.0,1500.0
0h18min39s,0.0,1500.0
0h19min12s,0.0,500.0
0h19min43s,10.0,910.0
0h20min30s,10.0,1131.0
0h21min2s,10.0,500.0
0h21min34s,0.0,500.0
0h22min5s,10.0,1500.0
0h22min37s,10.0,1500.0
0h23min9s,10.0,911.0
0h23min41s,10.0,500.0
0h24min12s,10.0,1500.0
0h24min50s,10.0,1221.0
0h25min22s,10.0,1500.0
0h25min54s,10.0,532.0
0h26min26s,10.0,500.0
0h26min58s,10.0,500.0
0h27min30s,10.0,500.0
0h28min2s,10.0,500.0
0h28min33s,10.0,500.0
0h29min5s,10.0,500.0
0h29min50s,10.0,500.0
0h30min22s,10.0,408.0
0h30min54s,10.0,372.0
0h31min25s,10.0,375.0
0h31min57s,10.0,384.0
0h32min29s,10.0,1500.0
0h33min0s,10.0,372.0
0h33min32s,10.0,399.0
0h34min2s,10.0,503.0
0h34min50s,10.0,593.0
0h35min22s,10.0,344.0
0h35min54s,10.0,656.0
0h36min26s,20.0,1500.0
0h36min58s,20.0,909.0
0h37min29s,20.0,773.0
0h38min1s,20.0,1010.0
0h38min32s,10.0,390.0
0h39min3s,20.0,918.0
0h39min50s,10.0,370.0
0h40min22s,20.0,655.0
0h40min53s,20.0,907.0
0h41min24s,20.0,1181.0
0h42min10s,20.0,463.0
0h42min42s,20.0,309.0
0h43min15s,10.0,247.0
0h43min49s,0.0,139.0
0h44min22s,10.0,185.0
0h44min55s,0.0,89.0
0h45min28s,10.0,239.0
0h46min0s,20.0,518.0
0h46min33s,100.0,612.0
0h47min10s,20.0,761.0
0h47min42s,0.0,94.0
0h48min14s,20.0,1500.0
0h48min46s,100.0,1308.0
0h49min18s,20.0,736.0
0h49min50s,100.0,603.0
0h50min22s,20.0,872.0
0h50min54s,20.0,488.0
0h51min25s,100.0,1031.0
0h52min10s,20.0,592.0
0h52min42s,10.0,227.0
0h53min15s,20.0,1500.0
0h53min49s,20.0,303.0
0h54min22s,10.0,281.0
0h54min54s,10.0,257.0
0h55min26s,10.0,253.0
0h55min59s,10.0,237.0
0h56min31s,10.0,263.0
0h57min10s,10.0,1500.0
0h57min41s,100.0,408.0
0h58min12s,100.0,360.0
0h58min43s,100.0,453.0
0h59min14s,0.0,49.0
0h59min45s,100.0,420.0
1h0min15s,100.0,239.0
1h0min47s,100.0,439.0
1h1min17s,100.0,401.0
1h2min10s,100.0,289.0
1h2min41s,100.0,313.0
1h3min12s,10.0,283.0
1h3min43s,100.0,301.0
1h4min13s,100.0,271.0
1h4min44s,100.0,392.0
1h5min15s,100.0,369.0
1h5min46s,100.0,292.0
1h6min17s,100.0,354.0
1h7min10s,10.0,266.0
1h7min41s,100.0,390.0
1h8min12s,100.0,511.0
1h8min43s,100.0,306.0
1h9min14s,100.0,281.0
1h9min45s,0.0,66.0
1h10min15s,10.0,178.0
1h10min46s,100.0,305.0
1h11min17s,100.0,244.0
1h12min10s,100.0,318.0
1h12min41s,100.0,275.0
1h13min12s,100.0,361.0
1h13min43s,100.0,417.0
1h14min14s,10.0,314.0
1h14min45s,100.0,489.0
1h15min16s,100.0,267.0
1h15min47s,10.0,203.0
1h16min18s,100.0,404.0
1h17min10s,100.0,348.0
1h17min41s,100.0,326.0
1h18min12s,100.0,299.0
1h18min43s,0.0,34.0
1h19min14s,100.0,232.0
1h19min44s,10.0,204.0
1h20min16s,100.0,297.0
1h20min47s,100.0,254.0
1h21min18s,100.0,311.0
1h22min10s,100.0,325.0
1h22min41s,100.0,371.0
1h23min12s,100.0,357.0
1h23min43s,100.0,460.0
1h24min14s,100.0,298.0
1h24min45s,100.0,468.0
1h25min16s,100.0,434.0
1h25min47s,0.0,145.0
1h26min18s,100.0,256.0
1h27min10s,100.0,297.0
1h27min41s,100.0,258.0
1h28min11s,100.0,462.0
1h28min42s,100.0,366.0
1h29min13s,100.0,304.0
1h29min44s,100.0,300.0
1h30min15s,100.0,348.0
1h30min46s,100.0,255.0
1h31min17s,100.0,295.0
1h32min10s,100.0,258.0
1h32min41s,10.0,200.0
1h33min11s,100.0,433.0
1h33min42s,10.0,238.0
1h34min13s,10.0,139.0
1h34min44s,100.0,408.0
1h35min14s,10.0,175.0
1h35min45s,100.0,290.0
1h36min16s,100.0,261.0
1h37min10s,100.0,265.0
1h37min41s,100.0,228.0
1h38min12s,100.0,459.0
1h38min43s,10.0,275.0
1h39min14s,0.0,12.0
1h39min45s,100.0,288.0
1h40min15s,100.0,338.0
1h40min46s,100.0,254.0
1h41min17s,100.0,279.0
