time,mean_reward,mean_length
time,mean_reward,mean_length
time,mean_reward,mean_length
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min32s,0.0,3.0
time,mean_reward,mean_length
0h0min32s,0.0,3.0
0h1min3s,0.0,3.0
0h1min35s,0.0,3.0
time,mean_reward,mean_length
0h0min32s,0.0,0.0
0h1min3s,0.0,0.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min32s,0.0,1.0
0h1min4s,0.0,1.0
0h1min35s,0.0,1.0
time,mean_reward,mean_length
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min31s,0.0,1.0
0h1min2s,0.0,1.0
0h1min32s,0.0,1.0
time,mean_reward,mean_length
0h0min32s,0.0,1.0
0h1min2s,0.0,1.0
0h1min33s,0.0,1.0
0h2min4s,0.0,1.0
0h2min34s,0.0,1.0
0h3min5s,0.0,1.0
0h3min36s,0.0,1.0
0h4min6s,0.0,1.0
0h4min37s,0.0,1.0
time,mean_reward,mean_length
0h0min31s,0.0,1.0
0h1min2s,0.0,1.0
0h1min34s,0.0,1.0
0h2min5s,0.0,1.0
0h2min36s,0.0,1.0
0h3min6s,0.0,1.0
0h3min36s,0.0,1.0
0h4min7s,0.0,1.0
0h4min37s,0.0,1.0
0h5min8s,0.0,1.0
0h5min38s,0.0,1.0
0h6min9s,0.0,1.0
0h6min39s,0.0,1.0
0h7min10s,0.0,1.0
0h7min40s,0.0,1.0
0h8min11s,0.0,1.0
0h8min41s,0.0,1.0
0h9min12s,0.0,1.0
0h9min43s,0.0,1.0
0h10min32s,0.0,1.0
0h11min3s,0.0,1.0
0h11min34s,0.0,1.0
0h12min5s,0.0,1.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min33s,10.0,40.0
0h1min4s,0.0,7.0
time,mean_reward,mean_length
0h0min37s,10.0,25.0
time,mean_reward,mean_length
0h0min31s,0.0,8.0
time,mean_reward,mean_length
0h0min31s,10.0,26.0
0h1min1s,0.0,8.0
0h1min31s,30.0,21.0
0h2min3s,0.0,14.0
0h2min33s,0.0,14.0
0h3min5s,20.0,20.0
0h3min36s,10.0,18.0
0h4min7s,0.0,173.0
0h4min40s,10.0,16.0
0h5min12s,20.0,22.0
0h5min43s,0.0,7.0
0h6min13s,0.0,17.0
0h6min45s,10.0,28.0
0h7min16s,0.0,18.0
0h7min47s,0.0,144.0
0h8min18s,20.0,66.0
0h8min51s,0.0,20.0
0h9min22s,0.0,15.0
0h9min53s,0.0,36.0
0h10min31s,0.0,12.0
0h11min3s,0.0,8.0
0h11min33s,0.0,16.0
0h12min4s,0.0,12.0
0h12min34s,0.0,12.0
0h13min6s,0.0,12.0
0h13min37s,0.0,7.0
0h14min7s,0.0,12.0
0h14min39s,0.0,12.0
0h15min9s,0.0,12.0
0h15min41s,0.0,12.0
0h16min12s,0.0,12.0
0h16min43s,0.0,12.0
0h17min14s,0.0,12.0
0h17min44s,0.0,8.0
0h18min15s,0.0,12.0
0h18min46s,0.0,12.0
0h19min17s,0.0,12.0
0h19min48s,0.0,12.0
0h20min32s,0.0,12.0
0h21min3s,0.0,12.0
0h21min34s,0.0,12.0
0h22min5s,0.0,12.0
0h22min36s,0.0,12.0
0h23min8s,0.0,12.0
0h23min39s,0.0,12.0
0h24min10s,0.0,12.0
0h24min41s,0.0,12.0
0h25min13s,0.0,8.0
0h25min44s,0.0,10.0
0h26min15s,0.0,8.0
0h26min46s,10.0,21.0
0h27min18s,0.0,11.0
0h27min48s,0.0,7.0
0h28min19s,0.0,7.0
0h28min50s,0.0,8.0
0h29min21s,0.0,7.0
0h29min51s,0.0,11.0
0h30min33s,0.0,8.0
0h31min4s,0.0,8.0
0h31min35s,0.0,8.0
0h32min5s,0.0,8.0
0h32min36s,0.0,8.0
0h33min6s,0.0,8.0
0h33min37s,0.0,8.0
0h34min7s,0.0,8.0
0h34min37s,0.0,8.0
0h35min8s,0.0,8.0
0h35min39s,10.0,79.0
0h36min10s,0.0,20.0
0h36min41s,0.0,8.0
0h37min13s,0.0,8.0
0h37min44s,0.0,8.0
0h38min15s,0.0,8.0
0h38min46s,0.0,8.0
0h39min17s,0.0,8.0
0h39min48s,0.0,8.0
0h40min33s,10.0,32.0
0h41min4s,0.0,8.0
0h41min35s,0.0,8.0
0h42min6s,0.0,8.0
0h42min37s,0.0,8.0
0h43min7s,0.0,8.0
0h43min38s,0.0,8.0
0h44min8s,0.0,8.0
0h44min39s,0.0,8.0
0h45min9s,0.0,8.0
0h45min40s,0.0,8.0
0h46min11s,0.0,8.0
0h46min41s,0.0,8.0
0h47min12s,0.0,31.0
0h47min44s,0.0,8.0
0h48min15s,0.0,8.0
0h48min45s,0.0,8.0
0h49min16s,0.0,8.0
0h49min48s,0.0,8.0
0h50min33s,10.0,11.0
0h51min5s,0.0,20.0
0h51min35s,0.0,7.0
0h52min7s,10.0,10.0
0h52min38s,10.0,14.0
0h53min9s,0.0,7.0
0h53min40s,0.0,8.0
0h54min11s,10.0,45.0
0h54min42s,10.0,39.0
0h55min14s,0.0,7.0
0h55min45s,0.0,36.0
0h56min17s,10.0,19.0
0h56min48s,0.0,39.0
0h57min19s,20.0,93.0
0h57min51s,10.0,68.0
0h58min22s,0.0,31.0
0h58min53s,20.0,66.0
0h59min25s,0.0,29.0
0h59min57s,0.0,300.0
1h0min33s,0.0,33.0
1h1min3s,0.0,33.0
1h1min34s,0.0,33.0
1h2min5s,0.0,33.0
1h2min36s,0.0,33.0
1h3min7s,0.0,33.0
1h3min38s,0.0,33.0
1h4min9s,0.0,33.0
1h4min40s,0.0,17.0
1h5min10s,0.0,33.0
1h5min41s,0.0,33.0
1h6min13s,0.0,33.0
1h6min44s,0.0,33.0
1h7min16s,0.0,33.0
1h7min46s,0.0,33.0
1h8min17s,0.0,33.0
1h8min49s,0.0,33.0
1h9min19s,0.0,33.0
1h9min49s,0.0,33.0
1h10min33s,0.0,33.0
1h11min4s,0.0,33.0
1h11min35s,0.0,33.0
1h12min6s,0.0,33.0
1h12min37s,0.0,33.0
1h13min8s,0.0,12.0
1h13min39s,0.0,35.0
1h14min10s,0.0,33.0
1h14min41s,0.0,33.0
1h15min12s,0.0,33.0
1h15min43s,0.0,33.0
1h16min14s,0.0,33.0
1h16min45s,0.0,33.0
1h17min16s,0.0,33.0
1h17min48s,0.0,33.0
1h18min19s,0.0,33.0
1h18min50s,0.0,33.0
1h19min22s,0.0,33.0
1h19min52s,0.0,33.0
1h20min33s,0.0,11.0
1h21min3s,10.0,30.0
1h21min35s,0.0,30.0
1h22min6s,20.0,90.0
1h22min38s,0.0,30.0
1h23min9s,0.0,30.0
1h23min40s,0.0,30.0
1h24min11s,0.0,68.0
1h24min43s,0.0,30.0
1h25min14s,0.0,30.0
1h25min44s,0.0,5.0
1h26min15s,0.0,69.0
1h26min46s,0.0,26.0
1h27min18s,0.0,30.0
1h27min48s,0.0,29.0
1h28min19s,0.0,5.0
1h28min50s,0.0,5.0
1h29min22s,0.0,5.0
1h29min53s,0.0,5.0
1h30min34s,0.0,5.0
1h31min5s,0.0,5.0
1h31min36s,0.0,5.0
1h32min7s,0.0,5.0
1h32min37s,0.0,38.0
1h33min9s,0.0,5.0
1h33min39s,0.0,5.0
1h34min11s,0.0,86.0
1h34min41s,0.0,5.0
1h35min12s,0.0,5.0
1h35min43s,0.0,5.0
1h36min14s,0.0,5.0
1h36min45s,0.0,5.0
1h37min16s,0.0,5.0
1h37min47s,0.0,5.0
1h38min18s,0.0,5.0
1h38min49s,0.0,5.0
1h39min20s,0.0,5.0
1h39min51s,0.0,5.0
1h40min35s,0.0,5.0
1h41min7s,0.0,5.0
1h41min37s,10.0,31.0
1h42min8s,0.0,5.0
1h42min40s,0.0,5.0
1h43min11s,0.0,5.0
1h43min42s,0.0,5.0
1h44min12s,0.0,5.0
1h44min43s,0.0,5.0
1h45min14s,0.0,5.0
1h45min45s,0.0,5.0
1h46min15s,0.0,5.0
1h46min46s,0.0,5.0
1h47min17s,0.0,5.0
1h47min47s,0.0,5.0
1h48min18s,0.0,5.0
1h48min49s,0.0,5.0
1h49min21s,0.0,5.0
1h49min51s,0.0,5.0
1h50min36s,0.0,5.0
1h51min6s,0.0,11.0
1h51min38s,0.0,13.0
1h52min9s,0.0,300.0
1h52min41s,0.0,12.0
1h53min12s,0.0,12.0
1h53min43s,0.0,300.0
1h54min16s,0.0,14.0
1h54min46s,0.0,28.0
1h55min17s,0.0,14.0
1h55min49s,0.0,85.0
1h56min20s,0.0,15.0
1h56min51s,0.0,300.0
1h57min24s,0.0,28.0
1h57min56s,0.0,28.0
1h58min28s,0.0,65.0
1h58min58s,0.0,75.0
1h59min30s,0.0,75.0
2h0min2s,0.0,28.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min31s,30.0,107.0
time,mean_reward,mean_length
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min31s,0.0,23.0
0h1min1s,0.0,8.0
0h1min32s,0.0,8.0
0h2min4s,0.0,8.0
0h2min35s,20.0,32.0
0h3min6s,0.0,16.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min31s,0.0,8.0
0h1min2s,10.0,16.0
0h1min32s,0.0,8.0
0h2min3s,10.0,53.0
0h2min34s,20.0,16.0
0h3min5s,0.0,8.0
0h3min36s,0.0,8.0
0h4min7s,10.0,10.0
0h4min38s,0.0,7.0
0h5min9s,0.0,6.0
0h5min40s,0.0,16.0
0h6min11s,0.0,26.0
time,mean_reward,mean_length
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min40s,0.0,15.2
time,mean_reward,mean_length
0h0min32s,10.0,27.8
0h1min5s,10.0,11.0
0h1min37s,10.0,11.0
0h2min10s,10.0,11.0
0h2min43s,10.0,11.0
0h3min15s,10.0,11.0
0h3min48s,10.0,11.0
0h4min19s,10.0,11.0
time,mean_reward,mean_length
0h0min31s,6.0,19.8
time,mean_reward,mean_length
0h0min32s,7.0,21.8
0h1min10s,7.5,21.25
0h1min48s,6.0,17.0
time,mean_reward,mean_length
0h0min32s,3.5,15.5
0h1min10s,10.0,9.0
0h1min47s,10.0,9.0
time,mean_reward,mean_length
0h0min32s,0.0,11.75
0h1min9s,0.0,13.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min32s,0.0,31.0
0h1min13s,0.0,7.0
0h1min49s,10.0,20.0
0h2min26s,10.0,20.0
0h3min2s,10.0,20.0
0h3min40s,10.0,20.0
0h4min17s,10.0,20.0
0h4min54s,10.0,20.0
0h5min31s,10.0,20.0
0h6min8s,10.0,20.0
0h6min45s,10.0,20.0
0h7min22s,10.0,20.0
0h8min0s,10.0,20.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min32s,0.0,20.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min32s,10.0,24.0
0h1min12s,10.0,24.0
0h1min53s,10.0,24.0
0h2min29s,0.0,9.0
0h3min9s,0.0,11.0
0h3min48s,10.0,29.0
0h4min26s,0.0,69.0
0h5min7s,0.0,47.0
time,mean_reward,mean_length
0h0min31s,0.0,20.0
time,mean_reward,mean_length
0h0min31s,10.0,65.0
0h1min6s,10.0,65.0
0h1min39s,0.0,7.0
time,mean_reward,mean_length
0h0min31s,10.0,32.0
0h1min6s,10.0,32.0
0h1min41s,10.0,32.0
0h2min17s,10.0,32.0
0h2min53s,10.0,32.0
0h3min30s,10.0,32.0
0h4min4s,10.0,80.0
time,mean_reward,mean_length
time,mean_reward,mean_length
0h0min31s,20.0,93.0
0h1min2s,20.0,93.0
0h1min34s,20.0,93.0
0h2min6s,20.0,93.0
0h2min38s,20.0,93.0
0h3min10s,20.0,93.0
0h3min42s,20.0,93.0
0h4min13s,20.0,93.0
0h4min45s,20.0,93.0
0h5min17s,20.0,93.0
0h5min49s,20.0,93.0
0h6min20s,20.0,93.0
0h6min53s,20.0,93.0
0h7min25s,20.0,93.0
0h7min56s,20.0,93.0
0h8min28s,20.0,93.0
0h9min0s,20.0,93.0
0h9min32s,20.0,93.0
0h10min4s,20.0,93.0
0h10min35s,20.0,93.0
0h11min8s,20.0,93.0
0h11min44s,20.0,93.0
0h12min16s,20.0,93.0
0h12min48s,20.0,93.0
time,mean_reward,mean_length
0h0min31s,0.0,36.0
0h1min2s,0.0,36.0
0h1min33s,10.0,35.0
0h2min5s,10.0,35.0
0h2min37s,10.0,35.0
0h3min8s,10.0,35.0
0h3min40s,10.0,35.0
0h4min12s,10.0,35.0
0h4min44s,10.0,35.0
0h5min16s,10.0,35.0
0h5min48s,10.0,35.0
0h6min19s,10.0,35.0
0h6min50s,10.0,35.0
0h7min22s,10.0,35.0
0h7min54s,10.0,35.0
0h8min25s,10.0,35.0
0h8min57s,10.0,35.0
0h9min29s,10.0,35.0
0h10min3s,10.0,35.0
0h10min35s,10.0,35.0
0h11min8s,10.0,35.0
0h11min39s,10.0,35.0
0h12min11s,10.0,35.0
0h12min48s,10.0,35.0
0h13min24s,10.0,35.0
0h14min0s,10.0,35.0
0h14min33s,10.0,35.0
0h15min9s,10.0,35.0
0h15min45s,10.0,35.0
0h16min51s,10.0,17.0
0h17min22s,10.0,17.0
0h17min53s,10.0,17.0
0h18min29s,10.0,17.0
0h19min5s,10.0,17.0
0h19min41s,10.0,17.0
0h20min17s,10.0,17.0
0h20min55s,10.0,17.0
0h21min31s,10.0,17.0
0h22min17s,10.0,17.0
0h23min4s,10.0,17.0
0h23min41s,10.0,17.0
0h24min28s,10.0,17.0
0h25min15s,10.0,17.0
