time,mean_reward,mean_length
0h0min31s,0,1.2
0h1min1s,0,1.8
0h1min32s,10,5.0
0h2min3s,10,12.2
0h2min33s,100,0.6
0h3min4s,10,5.2
0h3min34s,100,2.6
0h4min5s,100,5.8
0h4min36s,100,0.6
0h5min30s,10,1.8
0h6min0s,0,1.4
0h6min31s,10,3.2
0h7min2s,10,2.0
0h7min32s,10,0.6
0h8min3s,100,6.2
0h8min33s,10,4.4
0h9min4s,10,40.0
0h9min35s,10,5.0
0h10min5s,10,2.8
0h10min36s,10,5.4
0h11min6s,10,4.0
0h11min37s,10,0.6
0h12min8s,10,3.4
0h12min38s,100,2.4
0h13min9s,10,1.8
0h14min5s,10,3.8
0h14min38s,10,2.8
0h15min10s,10,40.0
0h15min42s,10,11.6
0h16min13s,10,2.6
0h16min43s,10,3.6
0h17min14s,10,8.4
0h17min46s,10,4.2
0h18min18s,10,1.8
0h19min8s,10,4.2
0h19min39s,10,10.6
0h20min11s,100,3.4
0h20min42s,10,3.8
0h21min14s,10,9.4
0h21min47s,10,15.0
0h22min19s,10,3.8
0h22min52s,100,40.0
0h23min24s,10,7.8
0h24min9s,10,4.4
0h24min39s,10,1.8
0h25min9s,10,2.2
0h25min41s,10,4.6
0h26min13s,10,2.0
0h26min44s,10,2.6
0h27min16s,10,3.8
0h27min47s,10,2.8
0h28min19s,100,1.8
0h29min9s,10,2.2
0h29min40s,10,6.8
0h30min10s,10,6.4
0h30min40s,10,4.6
0h31min12s,10,3.8
0h31min44s,10,2.6
0h32min14s,10,3.2
0h32min46s,10,3.4
0h33min16s,10,3.6
0h34min12s,100,2.8
0h34min43s,10,2.0
0h35min16s,10,2.6
0h35min51s,10,6.6
0h36min23s,10,2.4
0h36min54s,10,0.6
0h37min26s,100,3.8
0h37min58s,10,3.2
0h38min29s,10,4.4
0h39min15s,10,2.0
0h39min46s,100,2.4
0h40min16s,100,7.2
0h40min48s,10,7.6
0h41min19s,10,40.0
0h41min50s,10,2.2
0h42min21s,10,2.6
0h42min52s,10,3.0
0h43min23s,10,3.2
0h44min16s,100,3.4
0h44min47s,10,11.8
0h45min17s,10,3.6
0h45min48s,10,4.2
0h46min20s,10,5.8
0h46min52s,10,3.6
0h47min22s,10,3.8
0h47min53s,10,2.6
0h48min23s,100,3.2
0h49min15s,10,2.2
0h49min46s,10,40.0
0h50min16s,100,3.2
0h50min47s,10,2.2
0h51min18s,10,2.0
0h51min50s,10,2.8
0h52min21s,10,7.4
0h52min52s,100,2.6
0h53min23s,10,3.4
0h54min17s,100,4.2
0h54min48s,10,4.2
0h55min18s,10,3.0
0h55min49s,100,5.6
0h56min19s,100,2.6
0h56min50s,100,2.6
0h57min21s,10,3.4
0h57min51s,10,4.8
0h58min23s,100,3.0
0h59min19s,10,2.2
0h59min50s,100,4.0
1h0min22s,100,5.8
1h0min53s,100,2.2
1h1min24s,10,2.4
1h1min55s,10,2.2
1h2min26s,10,2.0
time,mean_reward,mean_length
0h0min31s,10.0,47.0
0h1min33s,50.0,169.0
0h2min6s,50.0,169.0
0h2min39s,50.0,169.0
0h3min11s,50.0,169.0
0h3min45s,50.0,169.0
0h4min19s,50.0,169.0
0h4min51s,50.0,169.0
0h5min26s,50.0,169.0
0h6min0s,50.0,169.0
0h6min33s,50.0,169.0
0h7min6s,50.0,169.0
0h7min39s,50.0,169.0
0h8min12s,50.0,169.0
0h9min10s,50.0,169.0
0h9min45s,50.0,169.0
0h10min18s,50.0,169.0
0h11min22s,20.0,38.0
time,mean_reward,mean_length
0h0min32s,0.0,4.0
time,mean_reward,mean_length
0h1min5s,0.0,4.0
0h0min30s,0.0,1500.0
0h1min39s,0.0,4.0
0h1min16s,0.0,500.0
0h2min12s,0.0,4.0
0h1min54s,0.0,500.0
0h2min45s,0.0,4.0
0h2min29s,0.0,500.0
0h3min20s,0.0,4.0
0h3min6s,0.0,500.0
0h3min54s,0.0,4.0
0h3min43s,0.0,500.0
0h4min28s,0.0,4.0
0h4min17s,0.0,500.0
0h5min2s,0.0,4.0
0h4min50s,0.0,500.0
0h5min36s,0.0,4.0
0h6min10s,0.0,4.0
0h5min31s,0.0,500.0
0h6min44s,0.0,4.0
0h6min16s,0.0,500.0
0h7min18s,0.0,4.0
0h7min4s,0.0,500.0
0h7min54s,0.0,4.0
time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min6s,0.0,500.0
0h2min38s,0.0,500.0
0h3min10s,10.0,500.0
time,mean_reward,mean_length
0h0min31s,0.0,78.0
0h3min46s,0.0,500.0
0h4min20s,0.0,500.0
0h1min9s,0.0,54.0
0h4min56s,0.0,500.0
0h1min45s,0.0,88.0
0h5min30s,0.0,500.0
0h2min23s,0.0,40.0
0h6min8s,0.0,500.0
0h2min57s,0.0,67.0
0h6min43s,0.0,500.0
0h3min34s,0.0,49.0
0h7min19s,0.0,500.0
0h4min10s,0.0,115.0
0h7min55s,0.0,500.0
0h4min51s,0.0,56.0
0h8min35s,0.0,500.0
0h5min31s,0.0,70.0
0h9min14s,0.0,500.0
0h6min9s,0.0,68.0
time,mean_reward,mean_length
0h0min30s,0.0,177.0
