time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min4s,[0],1000
0h7min5s,[0],1000
0h8min6s,[0],1000
0h9min7s,[20],390
0h10min7s,[0],610
0h11min8s,[0],1000
0h12min8s,[20],776
0h13min9s,[0],224
0h14min9s,[20],642
0h15min10s,[0],358
0h16min10s,[0],1000
0h17min11s,[20],531
0h18min11s,[0],469
0h19min12s,[20],350
0h20min12s,[20],474
0h21min12s,[0],176
0h22min13s,[0],1000
0h23min13s,[20],815
0h24min14s,[0],185
0h25min14s,[20],159
0h26min14s,[0],841
0h27min15s,[20],564
0h28min16s,[0],436
0h29min16s,[0],1000
0h30min17s,[0],1000
0h31min18s,[20],334
0h32min18s,[20],276
0h33min18s,[0],390
0h34min19s,[0],1000
0h35min19s,[20],274
0h36min20s,[0],726
0h37min20s,[0],1000
0h38min21s,[20],125
0h39min21s,[20],92
0h40min21s,[20],255
0h41min22s,[20],103
0h42min22s,[20],263
0h43min22s,[0],162
0h44min22s,[20],65
0h45min22s,[20],46
0h46min22s,[20],51
0h47min22s,[20],53
0h48min22s,[20],65
0h49min22s,[20],60
0h50min22s,[20],40
0h51min22s,[20],34
0h52min22s,[20],42
0h53min23s,[20],39
0h54min23s,[20],39
0h55min23s,[20],42
0h56min23s,[20],38
0h57min23s,[20],35
0h58min23s,[20],44
0h59min23s,[20],37
1h0min23s,[20],40
1h1min23s,[20],39
1h2min23s,[20],38
1h3min23s,[20],35
1h4min23s,[20],36
1h5min23s,[20],34
1h6min23s,[20],35
1h7min23s,[0],13
1h8min23s,[20],38
1h9min23s,[20],36
1h10min23s,[20],38
1h11min23s,[20],38
1h12min23s,[20],40
1h13min23s,[20],35
1h14min24s,[20],37
1h15min24s,[20],40
1h16min24s,[20],35
1h17min24s,[20],39
1h18min24s,[20],40
1h19min24s,[20],42
1h20min24s,[20],36
1h21min24s,[20],35
1h22min24s,[20],45
1h23min24s,[20],38
1h24min24s,[20],40
1h25min24s,[20],40
1h26min24s,[20],40
1h27min24s,[20],36
1h28min24s,[20],39
1h29min24s,[20],34
1h30min24s,[20],40
1h31min24s,[20],38
1h32min24s,[20],46
1h33min24s,[20],33
1h34min24s,[0],2
1h35min24s,[20],42
1h36min25s,[20],38
1h37min25s,[20],38
1h38min25s,[20],38
1h39min25s,[20],39
