time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[20],980
0h5min3s,[0],20
0h6min3s,[0],1000
0h7min4s,[0],1000
0h8min4s,[0],1000
0h9min5s,[20],366
0h10min5s,[20],179
0h11min5s,[0],455
0h12min6s,[0],1000
0h13min7s,[20],538
0h14min7s,[0],462
0h15min7s,[20],402
0h16min8s,[20],419
0h17min8s,[0],179
0h18min8s,[0],1000
0h19min9s,[20],74
0h20min9s,[20],113
0h21min9s,[0],813
0h22min10s,[20],129
0h23min10s,[20],133
0h24min10s,[20],157
0h25min10s,[20],236
0h26min10s,[0],345
0h27min10s,[0],1000
0h28min11s,[20],155
0h29min11s,[0],845
0h30min12s,[20],670
0h31min12s,[20],143
0h32min13s,[0],187
0h33min13s,[20],53
0h34min13s,[20],51
0h35min13s,[20],39
0h36min13s,[20],40
0h37min13s,[20],40
0h38min13s,[20],41
0h39min13s,[20],37
0h40min13s,[20],38
0h41min13s,[20],46
0h42min13s,[20],47
0h43min13s,[20],39
0h44min13s,[20],40
0h45min13s,[20],36
0h46min13s,[20],40
0h47min13s,[20],47
0h48min13s,[20],41
0h49min13s,[20],37
0h50min13s,[20],39
0h51min13s,[20],38
0h52min14s,[20],42
0h53min14s,[20],46
0h54min14s,[20],40
0h55min14s,[20],45
0h56min14s,[20],37
0h57min14s,[0],1
0h58min14s,[20],41
0h59min14s,[20],44
1h0min14s,[20],45
1h1min14s,[20],45
1h2min14s,[20],38
1h3min14s,[20],41
1h4min14s,[20],46
1h5min14s,[20],38
1h6min14s,[20],39
1h7min14s,[20],40
1h8min14s,[20],37
1h9min14s,[20],43
1h10min14s,[20],37
1h11min14s,[20],41
1h12min14s,[20],39
1h13min14s,[20],46
1h14min14s,[20],59
1h15min15s,[20],44
1h16min15s,[20],49
1h17min15s,[20],53
1h18min15s,[20],45
1h19min15s,[20],50
